"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","GF1","MW1"
"02981099999","1903-01-01T06:00:00","4","59.7833333","21.3666666","6.8","PARAINEN UTO, FI","FM-12","99999","V020","050,1,N,0190,1","99999,9,9,N","000000,1,N,9","-0050,1","+9999,9","09944,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02981099999","1903-01-01T13:00:00","4","59.7833333","21.3666666","6.8","PARAINEN UTO, FI","FM-12","99999","V020","020,1,N,0190,1","99999,9,9,N","000000,1,N,9","-0050,1","+9999,9","09924,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02981099999","1903-01-01T20:00:00","4","59.7833333","21.3666666","6.8","PARAINEN UTO, FI","FM-12","99999","V020","340,1,N,0170,1","99999,9,9,N","000000,1,N,9","-0028,1","+9999,9","09944,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02981099999","1903-01-02T06:00:00","4","59.7833333","21.3666666","6.8","PARAINEN UTO, FI","FM-12","99999","V020","320,1,N,0129,1","99999,9,9,N","000000,1,N,9","-0050,1","+9999,9","10016,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02981099999","1903-01-02T13:00:00","4","59.7833333","21.3666666","6.8","PARAINEN UTO, FI","FM-12","99999","V020","320,1,N,0118,1","99999,9,9,N","000000,1,N,9","-0039,1","+9999,9","10064,1","06,99,1,99,9,99,9,99999,9,99,9,99,9",
"02981099999","1903-01-02T20:00:00","4","59.7833333","21.3666666","6.8","PARAINEN UTO, FI","FM-12","99999","V020","320,1,N,0031,1","99999,9,9,N","000000,1,N,9","-0050,1","+9999,9","10111,1","02,99,1,99,9,99,9,99999,9,99,9,99,9",
"02981099999","1903-01-03T06:00:00","4","59.7833333","21.3666666","6.8","PARAINEN UTO, FI","FM-12","99999","V020","270,1,N,0062,1","99999,9,9,N","000000,1,N,9","-0061,1","+9999,9","10130,1","07,99,1,99,9,99,9,99999,9,99,9,99,9",
"02981099999","1903-01-03T13:00:00","4","59.7833333","21.3666666","6.8","PARAINEN UTO, FI","FM-12","99999","V020","180,1,N,0108,1","99999,9,9,N","000000,1,N,9","-0006,1","+9999,9","10114,1","06,99,1,99,9,99,9,99999,9,99,9,99,9",
"02981099999","1903-01-03T20:00:00","4","59.7833333","21.3666666","6.8","PARAINEN UTO, FI","FM-12","99999","V020","180,1,N,0149,1","99999,9,9,N","000000,1,N,9","-0006,1","+9999,9","10072,1","06,99,1,99,9,99,9,99999,9,99,9,99,9",
"02981099999","1903-01-04T06:00:00","4","59.7833333","21.3666666","6.8","PARAINEN UTO, FI","FM-12","99999","V020","180,1,N,0180,1","99999,9,9,N","000000,1,N,9","+0006,1","+9999,9","09970,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",
