"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AJ1","GF1","MW1","EQD"
"02869099999","1911-01-08T20:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","230,1,N,0139,1","99999,9,9,N","000000,1,N,9","-0022,1","+9999,9","09834,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02869099999","1911-01-09T06:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","180,1,N,0118,1","99999,9,9,N","000000,1,N,9","-0033,1","+9999,9","09748,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02869099999","1911-01-09T13:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","180,1,N,0118,1","99999,9,9,N","000000,1,N,9","-0017,1","+9999,9","09659,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9","72,1",
"02869099999","1911-01-09T20:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","180,1,N,0098,1","99999,9,9,N","000000,1,N,9","-0017,1","+9999,9","09667,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02869099999","1911-01-10T06:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","180,1,N,0082,1","99999,9,9,N","000000,1,N,9","-0056,1","+9999,9","09682,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02869099999","1911-01-10T13:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","180,1,N,0082,1","99999,9,9,N","000000,1,N,9","-0050,1","+9999,9","09664,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02869099999","1911-01-10T20:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","230,1,N,0021,1","99999,9,9,N","000000,1,N,9","-0033,1","+9999,9","09628,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02869099999","1911-01-11T06:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","230,1,N,0062,1","99999,9,9,N","000000,1,N,9","-0056,1","+9999,9","09580,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02869099999","1911-01-11T13:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","230,1,N,0041,1","99999,9,9,N","000000,1,N,9","-0083,1","+9999,9","09579,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02869099999","1911-01-11T20:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","230,1,N,0062,1","99999,9,9,N","000000,1,N,9","-0083,1","+9999,9","09592,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02869099999","1911-01-12T06:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","999,1,C,0000,1","99999,9,9,N","000000,1,N,9","-0106,1","+9999,9","09583,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02869099999","1911-01-12T13:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","999,1,C,0000,1","99999,9,9,N","000000,1,N,9","-0094,1","+9999,9","09616,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,
