"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AJ1","GF1","MW1"
"02875099999","1911-01-01T06:00:00","4","64.930061","25.354564","14.32","OULU, FI","FM-12","99999","V020","110,1,N,0031,1","99999,9,9,N","000000,1,N,9","-0044,1","+9999,9","10059,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9","70,1"
"02875099999","1911-01-01T13:00:00","4","64.930061","25.354564","14.32","OULU, FI","FM-12","99999","V020","160,1,N,0031,1","99999,9,9,N","000000,1,N,9","-0039,1","+9999,9","10032,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02875099999","1911-01-01T20:00:00","4","64.930061","25.354564","14.32","OULU, FI","FM-12","99999","V020","160,1,N,0031,1","99999,9,9,N","000000,1,N,9","-0050,1","+9999,9","10074,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02875099999","1911-01-02T06:00:00","4","64.930061","25.354564","14.32","OULU, FI","FM-12","99999","V020","070,1,N,0031,1","99999,9,9,N","000000,1,N,9","-0067,1","+9999,9","10167,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02875099999","1911-01-02T13:00:00","4","64.930061","25.354564","14.32","OULU, FI","FM-12","99999","V020","070,1,N,0031,1","99999,9,9,N","000000,1,N,9","-0122,1","+9999,9","10243,1",,"00,99,1,99,9,99,9,99999,9,99,9,99,9",
"02875099999","1911-01-02T20:00:00","4","64.930061","25.354564","14.32","OULU, FI","FM-12","99999","V020","070,1,N,0021,1","99999,9,9,N","000000,1,N,9","-0167,1","+9999,9","10314,1",,"00,99,1,99,9,99,9,99999,9,99,9,99,9",
"02875099999","1911-01-03T06:00:00","4","64.930061","25.354564","14.32","OULU, FI","FM-12","99999","V020","140,1,N,0010,1","99999,9,9,N","000000,1,N,9","-0150,1","+9999,9","10360,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02875099999","1911-01-03T13:00:00","4","64.930061","25.354564","14.32","OULU, FI","FM-12","99999","V020","140,1,N,0021,1","99999,9,9,N","000000,1,N,9","-0178,1","+9999,9","10384,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02875099999","1911-01-03T20:00:00","4","64.930061","25.354564","14.32","OULU, FI","FM-12","99999","V020","110,1,N,0021,1","99999,9,9,N","000000,1,N,9","-0150,1","+9999,9","10390,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02875099999","1911-01-04T06:00:00","4","64.930061","25.354564","14.32","OULU, FI","FM-12","99999","V020","180,1,N,0021,1","99999,9,9,N","000000,1,N,9","-0122,1","+9999,9","10386,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02875099999","1911-01-04T13:00:00","4","64.930061","25.354564","14.32","OULU, FI","FM-12","99999","V020","160,1,N,0031,1","99999,9,9,N","000000,1,N,9","-0100,1","+9999,9","10386,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02875099999","1911-01-04T20:00:00","4","64.930061","25.354564","14.32","OULU, FI","FM-12","99999","V020","270,1,N,0041,1","99999,9,9,N","000000,1,N,9","-0050,1","+9999,9","10390,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02875099999","1911-01-05T06:00:00","4","64.930061","25.354564","14.32","OULU, FI","FM-12","99999","V020","180,1,N,0021,1","99999,9,9,N","000000,1,N,9","-0067,1","+9999,9","10410,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02875099999","1911-01-05T13:00:00","4","64.930061","25.354564","14.32","OULU, FI","FM-12","99999","V020","180,1,N,0031,1","99999,9,9,N","000000,1,N,9","-0083,1","+9999,9","10419,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02875099999","1911-01-05T20:00:00","4","64.930061","25.354564","14.32","OULU, FI","FM-12","99999","V020","140,1,N,0021,1","99999,9,9,N","000000,1,N,9","-0178,1","+9999,9","10420,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02875099999","1911-01-06T06:00:00","4","64.930061","25.354564","14.32","OULU, FI","FM-12","99999","V020","140,1,N,0031,1","99999,9,9,N","000000,1,N,9","-0172,1","+9999,9","10364,1",,"00,99,1,99,9,99,9,99999,9,99,9,99,9",
"02875099999","1911-01-06T13:00:00","4","64.930061","25.354564","14.32","OULU, FI","FM-12","99999","V020","160,1,N,0051,1","99999,9,9,N","000000,1,N,9","-0111,1","+9999,9","10322,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9","72,1"
"02875099999","1911-01-06T20:00:00","4","64.930061","25.354564","14.32","OULU, FI","FM-12","99999","V020","140,1,N,0031,1","99999,9,9,N","000000,1,N,9","-0078,1","+9999,9","10271,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9","72,1"
"02875099999","1911-01-07T06:00:00","4","64.930061","25.354564","14.32","OULU, FI","FM-12","99999","V020","180,1,N,0072,1","99999,9,9,N","000000,1,N,9","-0061,1","+9999,9","10227,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9","72,1"
"02875099999","1911-01-07T13:00:00","4","64.930061","25.354564","14.32","OULU, FI","FM-12","99999","V020","200,1,N,0041,1","99999,9,9,N","000000,1,N,9","+0006,1","+9999,9","10228,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02875099999","1911-01-07T20:00:00","4","64.930061","25.354564","14.32","OULU, FI","FM-12","99999","V020","160,1,N,0062,1","99999,9,9,N","000000,1,N,9","+0006,1","+9999,9","10244,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02875099999","1911-01-08T06:00:00","4","64.930061","25.354564","14.32","OULU, FI","FM-12","99999","V020","180,1,N,0051,1","99999,9,9,N","000000,1,N,9","+0011,1","+9999,9","10219,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02875099999","1911-01-08T13:00:00","4","64.930061","25.354564","14.32","OULU, FI","FM-12","99999","V020","160,1,N,0021,1","99999,9,9,N","000000,1,N,9","-0006,1","+9999,9","10184,1",,"07,99,1,99,9,99,9,99999,9,99,9,99,9",
"02875099999","1911-01-08T20:00:00","4","64.930061","25.354564","14.32","OULU, FI","FM-12","99999","V020","160,1,N,0051,1","99999,9,9,N","000000,1,N,9","+0000,1","+9999,9","10116,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02875099999","1911-01-09T06:00:00","4","64.930061","25.354564","14.32","OULU, FI","FM-12","99999","V020","140,1,N,0072,1","99999,9,9,N","000000,1,N,9","+0011,1","+9999,9","10022,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9","72,1"
"02875099999","1911-01-09T13:00:00","4","64.930061","25.354564","14.32","OULU, FI","FM-12","99999","V020","270,1,N,0051,1","99999,9,9,N","000000,1,N,9","+0000,1","+9999,9","09970,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9","72,1"
"02875099999","1911-01-09T20:00:00","4","64.930061","25.354564","14.32","OULU, FI","FM-12","99999","V020","200,1,N,0010,1","99999,9,9,N","000000,1,N,9","-0017,1","+9999,9","10004,1",,"00,99,1,99,9,99,9,99999,9,99,9,99,9",
"02875099999","1911-01-10T06:00:00","4","64.930061","25.354564","14.32","OULU, FI","FM-12","99999","V020","230,1,N,0062,1","99999,9,9,N","000000,1,N,9","-0011,1","+9999,9","09990,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02875099999","1911-01-10T13:00:00","4","64.930061","25.354564","14.32","OULU, FI","FM-12","99999","V020","180,1,N,0031,1","99999,9,9,N","000000,1,N,9","-0017,1","+9999,9","09960,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02875099999","1911-01-10T20:00:00","4","64.930061","25.354564","14.32","OULU, FI","FM-12","99999","V020","180,1,N,0021,1","99999,9,9,N","000000,1,N,9","-0022,1","+9999,9","09922,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02875099999","1911-01-11T06:00:00","4","64.930061","25.354564","14.32","OULU, FI","FM-12","99999","V020","250,1,N,0010,1","99999,9,9,N","000000,1,N,9","-0050,1","+9999,9","09899,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02875099999","1911-01-11T13:00:00","4","64.930061","25.354564","14.32","OULU, FI","FM-12","99999","V020","200,1,N,0031,1","99999,9,9,N","000000,1,N,9","-0056,1","+9999,9","09892,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02875099999","1911-01-11T20:00:00","4","64.930061","25.354564","14.32","OULU, FI","FM-12","99999","V020","160,1,N,0031,1","99999,9,9,N","000000,1,N,9","-0072,1","+9999,9","09887,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02875099999","1911-01-12T06:00:00","4","64.930061","25.354564","14.32","OULU, FI","FM-12","99999","V020","180,1,N,0021,1","99999,9,9,N","000000,1,N,9","-0067,1","+9999,9","09894,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02875099999","1911-01-12T13:00:00","4","64.930061","25.354564","14.32","OULU, FI","FM-12","99999","V020","110,1,N,0031,1","99999,9,9,N","000000,1,N,9","-0072,1","+9999,9","09902,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02875099999","1911-01-12T20:00:00","4","64.930061","25.354564","14.32","OULU, FI","FM-12","99999","V020","110,1,N,0031,1","99999,9,9,N","000000,1,N,9","-0072,1","+9999,9","09934,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9","72,1"
"02875099999","1911-01-13T06:00:00","4","64.930061","25.354564","14.32","OULU, FI","FM-12","99999","V020","360,1,N,0021,1","99999,9,9,N","000000,1,N,9","-0100,1","+9999,9","09988,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02875099999","1911-01-13T13:00:00","4","64.930061","25.354564","14.32","OULU, FI","FM-12","99999","V020","050,1,N,0010,1","99999,9,9,N","000000,1,N,9","-0117,1","+9999,9","10016,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02875099999","1911-01-13T20:00:00","4","64.930061","25.354564","14.32","OULU, FI","FM-12","99999","V020","140,1,N,0010,1","99999,9,9,N","000000,1,N,9","-0144,1","+9999,9","10054,1",,"00,99,1,99,9,99,9,99999,9,99,9,99,9",
"02875099999","1911-01-14T06:00:00","4","64.930061","25.354564","14.32","OULU, FI","FM-12","99999","V020","160,1,N,0010,1","99999,9,9,N","000000,1,N,9","-0161,1","+9999,9","10087,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9","38,1"
"02875099999","1911-01-14T13:00:00","4","64.930061","25.354564","14.32","OULU, FI","FM-12","99999","V020","110,1,N,0021,1","99999,9,9,N","000000,1,N,9","-0150,1","+9999,9","10112,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9","72,1"
"02875099999","1911-01-14T20:00:00","4","64.930061","25.354564","14.32","OULU, FI","FM-12","99999","V020","110,1,N,0031,1","99999,9,9,N","000000,1,N,9","-0122,1","+9999,9","10114,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02875099999","1911-01-15T06:00:00","4","64.930061","25.354564","14.32","OULU, FI","FM-12","99999","V020","180,1,N,0051,1","99999,9,9,N","000000,1,N,9","-0100,1","+9999,9","10072,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9","72,1"
"02875099999","1911-01-15T13:00:00","4","64.930061","25.354564","14.32","OULU, FI","FM-12","99999","V020","140,1,N,0021,1","99999,9,9,N","000000,1,N,9","-0050,1","+9999,9","10059,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02875099999","1911-01-15T20:00:00","4","64.930061","25.354564","14.32","OULU, FI","FM-12","99999","V020","270,1,N,0010,1","99999,9,9,N","000000,1,N,9","-0128,1","+9999,9","10098,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02875099999","1911-01-16T06:00:00","4","64.930061","25.354564","14.32","OULU, FI","FM-12","99999","V020","140,1,N,0021,1","99999,9,9,N","000000,1,N,9","-0100,1","+9999,9","09988,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02875099999","1911-01-16T13:00:00","4","64.930061","25.354564","14.32","OULU, FI","FM-12","99999","V020","180,1,N,0031,1","99999,9,9,N","000000,1,N,9","-0022,1","+9999,9","09906,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",
