"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","GF1","MW1"
"02869099999","1910-01-01T06:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","230,1,N,0082,1","99999,9,9,N","000000,1,N,9","-0039,1","+9999,9","09790,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02869099999","1910-01-01T13:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","230,1,N,0041,1","99999,9,9,N","000000,1,N,9","-0028,1","+9999,9","09783,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02869099999","1910-01-01T20:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","230,1,N,0118,1","99999,9,9,N","000000,1,N,9","-0017,1","+9999,9","09746,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02869099999","1910-01-02T06:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","180,1,N,0082,1","99999,9,9,N","000000,1,N,9","-0039,1","+9999,9","09611,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02869099999","1910-01-02T13:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","250,1,N,0062,1","99999,9,9,N","000000,1,N,9","-0006,1","+9999,9","09587,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02869099999","1910-01-02T20:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","250,1,N,0021,1","99999,9,9,N","000000,1,N,9","-0017,1","+9999,9","09584,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02869099999","1910-01-03T06:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","270,1,N,0021,1","99999,9,9,N","000000,1,N,9","-0039,1","+9999,9","09591,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02869099999","1910-01-03T13:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","270,1,N,0021,1","99999,9,9,N","000000,1,N,9","-0067,1","+9999,9","09616,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02869099999","1910-01-03T20:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","270,1,N,0041,1","99999,9,9,N","000000,1,N,9","-0089,1","+9999,9","09615,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02869099999","1910-01-04T06:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","160,1,N,0021,1","99999,9,9,N","000000,1,N,9","-0056,1","+9999,9","09532,1","08,99,1,99,9,99,9,99999,9,99,9,99,9","72,1"
"02869099999","1910-01-04T13:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","110,1,N,0021,1","99999,9,9,N","000000,1,N,9","-0056,1","+9999,9","09563,1",,"72,1"
"02869099999","1910-01-04T20:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","110,1,N,0041,1","99999,9,9,N","000000,1,N,9","-0067,1","+9999,9","09644,1","08,99,1,99,9,99,9,99999,9,99,9,99,9","72,1"
"02869099999","1910-01-05T06:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","090,1,N,0062,1","99999,9,9,N","000000,1,N,9","-0117,1","+9999,9","09779,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02869099999","1910-01-05T13:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","090,1,N,0041,1","99999,9,9,N","000000,1,N,9","-0144,1","+9999,9","09868,1",,
"02869099999","1910-01-05T20:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","999,1,C,0000,1","99999,9,9,N","000000,1,N,9","-0200,1","+9999,9","09920,1","00,99,1,99,9,99,9,99999,9,99,9,99,9",
