"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AJ1","GF1","MW1"
"02944099999","1910-01-01T06:00:00","4","61.414147","23.604392","118.87","TAMPERE PIRKKALA, FI","FM-12","99999","V020","160,1,N,0062,1","99999,9,9,N","000000,1,N,9","-0017,1","+9999,9","10110,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02944099999","1910-01-01T13:00:00","4","61.414147","23.604392","118.87","TAMPERE PIRKKALA, FI","FM-12","99999","V020","230,1,N,0041,1","99999,9,9,N","000000,1,N,9","-0011,1","+9999,9","10106,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02944099999","1910-01-01T20:00:00","4","61.414147","23.604392","118.87","TAMPERE PIRKKALA, FI","FM-12","99999","V020","230,1,N,0041,1","99999,9,9,N","000000,1,N,9","-0017,1","+9999,9","10052,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02944099999","1910-01-02T06:00:00","4","61.414147","23.604392","118.87","TAMPERE PIRKKALA, FI","FM-12","99999","V020","250,1,N,0062,1","99999,9,9,N","000000,1,N,9","+0006,1","+9999,9","09955,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02944099999","1910-01-02T13:00:00","4","61.414147","23.604392","118.87","TAMPERE PIRKKALA, FI","FM-12","99999","V020","230,1,N,0041,1","99999,9,9,N","000000,1,N,9","+0056,1","+9999,9","09926,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02944099999","1910-01-02T20:00:00","4","61.414147","23.604392","118.87","TAMPERE PIRKKALA, FI","FM-12","99999","V020","200,1,N,0062,1","99999,9,9,N","000000,1,N,9","+0044,1","+9999,9","09858,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02944099999","1910-01-03T06:00:00","4","61.414147","23.604392","118.87","TAMPERE PIRKKALA, FI","FM-12","99999","V020","320,1,N,0062,1","99999,9,9,N","000000,1,N,9","+0011,1","+9999,9","09759,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9","72,1"
"02944099999","1910-01-03T13:00:00","4","61.414147","23.604392","118.87","TAMPERE PIRKKALA, FI","FM-12","99999","V020","290,1,N,0062,1","99999,9,9,N","000000,1,N,9","-0061,1","+9999,9","09907,1",,"04,99,1,99,9,99,9,99999,9,99,9,99,9",
"02944099999","1910-01-03T20:00:00","4","61.414147","23.604392","118.87","TAMPERE PIRKKALA, FI","FM-12","99999","V020","270,1,N,0021,1","99999,9,9,N","000000,1,N,9","-0039,1","+9999,9","09924,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02944099999","1910-01-04T06:00:00","4","61.414147","23.604392","118.87","TAMPERE PIRKKALA, FI","FM-12","99999","V020","230,1,N,0021,1","99999,9,9,N","000000,1,N,9","+0006,1","+9999,9","09683,2",,"08,99,1,99,9,99,9,99999,9,99,9,99,9","62,1"
"02944099999","1910-01-04T13:00:00","4","61.414147","23.604392","118.87","TAMPERE PIRKKALA, FI","FM-12","99999","V020","320,1,N,0041,1","99999,9,9,N","000000,1,N,9","-0028,1","+9999,9","09774,1",,"04,99,1,99,9,99,9,99999,9,99,9,99,9",
"02944099999","1910-01-04T20:00:00","4","61.414147","23.604392","118.87","TAMPERE PIRKKALA, FI","FM-12","99999","V020","320,1,N,0021,1","99999,9,9,N","000000,1,N,9","-0028,1","+9999,9","09852,1",,"00,99,1,99,9,99,9,99999,9,99,9,99,9",
"02944099999","1910-01-05T06:00:00","4","61.414147","23.604392","118.87","TAMPERE PIRKKALA, FI","FM-12","99999","V020","020,1,N,0031,1","99999,9,9,N","000000,1,N,9","-0044,1","+9999,9","09962,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02944099999","1910-01-05T13:00:00","4","61.414147","23.604392","118.87","TAMPERE PIRKKALA, FI","FM-12","99999","V020","020,1,N,0021,1","99999,9,9,N","000000,1,N,9","-0056,1","+9999,9","10051,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02944099999","1910-01-05T20:00:00","4","61.414147","23.604392","118.87","TAMPERE PIRKKALA, FI","FM-12","99999","V020","999,1,C,0000,1","99999,9,9,N","000000,1,N,9","-0067,1","+9999,9","10122,1",,"04,99,1,99,9,99,9,99999,9,99,9,99,9",
"02944099999","1910-01-06T06:00:00","4","61.414147","23.604392","118.87","TAMPERE PIRKKALA, FI","FM-12","99999","V020","070,1,N,0021,1","99999,9,9,N","000000,1,N,9","-0083,1","+9999,9","10156,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02944099999","1910-01-06T13:00:00","4","61.414147","23.604392","118.87","TAMPERE PIRKKALA, FI","FM-12","99999","V020","110,1,N,0021,1","99999,9,9,N","000000,1,N,9","-0100,1","+9999,9","10175,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02944099999","1910-01-06T20:00:00","4","61.414147","23.604392","118.87","TAMPERE PIRKKALA, FI","FM-12","99999","V020","230,1,N,0021,1","99999,9,9,N","000000,1,N,9","-0067,1","+9999,9","10146,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9","72,1"
"02944099999","1910-01-07T06:00:00","4","61.414147","23.604392","118.87","TAMPERE PIRKKALA, FI","FM-12","99999","V020","250,1,N,0062,1","99999,9,9,N","000000,1,N,9","+0006,1","+9999,9","10106,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02944099999","1910-01-07T13:00:00","4","61.414147","23.604392","118.87","TAMPERE PIRKKALA, FI","FM-12","99999","V020","250,1,N,0021,1","99999,9,9,N","000000,1,N,9","+0006,1","+9999,9","10115,1",,"04,99,1,99,9,99,9,99999,9,99,9,99,9",
"02944099999","1910-01-07T20:00:00","4","61.414147","23.604392","118.87","TAMPERE PIRKKALA, FI","FM-12","99999","V020","200,1,N,0021,1","99999,9,9,N","000000,1,N,9","-0061,1","+9999,9","10098,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02944099999","1910-01-08T06:00:00","4","61.414147","23.604392","118.87","TAMPERE PIRKKALA, FI","FM-12","99999","V020","270,1,N,0021,1","99999,9,9,N","000000,1,N,9","-0067,1","+9999,9","10079,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02944099999","1910-01-08T13:00:00","4","61.414147","23.604392","118.87","TAMPERE PIRKKALA, FI","FM-12","99999","V020","160,1,N,0021,1","99999,9,9,N","000000,1,N,9","-0044,1","+9999,9","10079,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02944099999","1910-01-08T20:00:00","4","61.414147","23.604392","118.87","TAMPERE PIRKKALA, FI","FM-12","99999","V020","200,1,N,0041,1","99999,9,9,N","000000,1,N,9","+0000,1","+9999,9","10032,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02944099999","1910-01-09T06:00:00","4","61.414147","23.604392","118.87","TAMPERE PIRKKALA, FI","FM-12","99999","V020","230,1,N,0062,1","99999,9,9,N","000000,1,N,9","+0011,1","+9999,9","10010,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02944099999","1910-01-09T13:00:00","4","61.414147","23.604392","118.87","TAMPERE PIRKKALA, FI","FM-12","99999","V020","230,1,N,0021,1","99999,9,9,N","000000,1,N,9","+0011,1","+9999,9","09971,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9","72,1"
"02944099999","1910-01-09T20:00:00","4","61.414147","23.604392","118.87","TAMPERE PIRKKALA, FI","FM-12","99999","V020","200,1,N,0021,1","99999,9,9,N","000000,1,N,9","+0017,1","+9999,9","09934,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",
