"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","GF1","MW1"
"02917099999","1910-01-01T06:00:00","4","63.00715","27.797756","98.45","KUOPIO, FI","FM-12","99999","V020","230,1,N,0041,1","99999,9,9,N","000000,1,N,9","-0044,1","+9999,9","10080,1","00,99,1,99,9,99,9,99999,9,99,9,99,9",
"02917099999","1910-01-01T13:00:00","4","63.00715","27.797756","98.45","KUOPIO, FI","FM-12","99999","V020","230,1,N,0041,1","99999,9,9,N","000000,1,N,9","-0022,1","+9999,9","10064,1","06,99,1,99,9,99,9,99999,9,99,9,99,9",
"02917099999","1910-01-01T20:00:00","4","63.00715","27.797756","98.45","KUOPIO, FI","FM-12","99999","V020","230,1,N,0118,1","99999,9,9,N","000000,1,N,9","-0017,1","+9999,9","10024,1","03,99,1,99,9,99,9,99999,9,99,9,99,9",
"02917099999","1910-01-02T06:00:00","4","63.00715","27.797756","98.45","KUOPIO, FI","FM-12","99999","V020","200,1,N,0062,1","99999,9,9,N","000000,1,N,9","-0011,1","+9999,9","09882,1","00,99,1,99,9,99,9,99999,9,99,9,99,9",
"02917099999","1910-01-02T13:00:00","4","63.00715","27.797756","98.45","KUOPIO, FI","FM-12","99999","V020","230,1,N,0062,1","99999,9,9,N","000000,1,N,9","+0011,1","+9999,9","09867,1","06,99,1,99,9,99,9,99999,9,99,9,99,9",
"02917099999","1910-01-02T20:00:00","4","63.00715","27.797756","98.45","KUOPIO, FI","FM-12","99999","V020","230,1,N,0062,1","99999,9,9,N","000000,1,N,9","+0006,1","+9999,9","09839,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02917099999","1910-01-03T06:00:00","4","63.00715","27.797756","98.45","KUOPIO, FI","FM-12","99999","V020","050,1,N,0041,1","99999,9,9,N","000000,1,N,9","-0006,1","+9999,9","09724,1","08,99,1,99,9,99,9,99999,9,99,9,99,9","72,1"
"02917099999","1910-01-03T13:00:00","4","63.00715","27.797756","98.45","KUOPIO, FI","FM-12","99999","V020","999,1,C,0000,1","99999,9,9,N","000000,1,N,9","-0011,1","+9999,9","09758,1","05,99,1,99,9,99,9,99999,9,99,9,99,9",
"02917099999","1910-01-03T20:00:00","4","63.00715","27.797756","98.45","KUOPIO, FI","FM-12","99999","V020","999,1,C,0000,1","99999,9,9,N","000000,1,N,9","-0067,1","+9999,9","09854,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02917099999","1910-01-04T06:00:00","4","63.00715","27.797756","98.45","KUOPIO, FI","FM-12","99999","V020","999,1,C,0000,1","99999,9,9,N","000000,1,N,9","-0039,1","+9999,9","09716,1","08,99,1,99,9,99,9,99999,9,99,9,99,9","72,1"
"02917099999","1910-01-04T13:00:00","4","63.00715","27.797756","98.45","KUOPIO, FI","FM-12","99999","V020","999,1,C,0000,1","99999,9,9,N","000000,1,N,9","-0022,1","+9999,9","09699,1","08,99,1,99,9,99,9,99999,9,99,9,99,9","72,1"
