"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","GF1","MW1","EQD"
"02875099999","1906-01-01T06:00:00","4","64.930061","25.354564","14.32","OULU, FI","FM-12","99999","V020","180,1,N,0010,1","99999,9,9,N","000000,1,N,9","-0094,1","+9999,9","10176,1","00,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02875099999","1906-01-01T13:00:00","4","64.930061","25.354564","14.32","OULU, FI","FM-12","99999","V020","230,1,N,0010,1","99999,9,9,N","000000,1,N,9","-0078,1","+9999,9","10171,1","00,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02875099999","1906-01-01T20:00:00","4","64.930061","25.354564","14.32","OULU, FI","FM-12","99999","V020","270,1,N,0010,1","99999,9,9,N","000000,1,N,9","-0050,1","+9999,9","10187,1","00,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02875099999","1906-01-02T06:00:00","4","64.930061","25.354564","14.32","OULU, FI","FM-12","99999","V020","270,1,N,0021,1","99999,9,9,N","000000,1,N,9","-0022,1","+9999,9","10192,1","00,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02875099999","1906-01-02T13:00:00","4","64.930061","25.354564","14.32","OULU, FI","FM-12","99999","V020","180,1,N,0031,1","99999,9,9,N","000000,1,N,9","-0039,1","+9999,9","10198,1","00,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02875099999","1906-01-02T20:00:00","4","64.930061","25.354564","14.32","OULU, FI","FM-12","99999","V020","999,1,C,0000,1","99999,9,9,N","000000,1,N,9","-0044,1","+9999,9","10198,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02875099999","1906-01-03T06:00:00","4","64.930061","25.354564","14.32","OULU, FI","FM-12","99999","V020","999,1,C,0000,1","99999,9,9,N","000000,1,N,9","-0089,1","+9999,9","10183,1","00,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02875099999","1906-01-03T13:00:00","4","64.930061","25.354564","14.32","OULU, FI","FM-12","99999","V020","180,1,N,0041,1","99999,9,9,N","000000,1,N,9","-0094,1","+9999,9","10179,1","00,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02875099999","1906-01-03T20:00:00","4","64.930061","25.354564","14.32","OULU, FI","FM-12","99999","V020","180,1,N,0010,1","99999,9,9,N","000000,1,N,9","-0083,1","+9999,9","10188,1","00,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02875099999","1906-01-04T06:00:00","4","64.930061","25.354564","14.32","OULU, FI","FM-12","99999","V020","230,1,N,0041,1","99999,9,9,N","000000,1,N,9","-0056,1","+9999,9","10152,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",,
