"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","GF1","MW1","EQD"
"02981099999","1901-01-01T06:00:00","4","59.7833333","21.3666666","6.8","PARAINEN UTO, FI","FM-12","99999","V020","050,1,N,0021,1","99999,9,9,N","000000,1,N,9","-0106,1","+9999,9","10264,1","02,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02981099999","1901-01-01T13:00:00","4","59.7833333","21.3666666","6.8","PARAINEN UTO, FI","FM-12","99999","V020","270,1,N,0021,1","99999,9,9,N","000000,1,N,9","-0072,1","+9999,9","10267,1","05,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02981099999","1901-01-01T20:00:00","4","59.7833333","21.3666666","6.8","PARAINEN UTO, FI","FM-12","99999","V020","270,1,N,0072,1","99999,9,9,N","000000,1,N,9","-0083,1","+9999,9","10267,1","05,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02981099999","1901-01-02T06:00:00","4","59.7833333","21.3666666","6.8","PARAINEN UTO, FI","FM-12","99999","V020","270,1,N,0082,1","99999,9,9,N","000000,1,N,9","-0050,1","+9999,9","10251,1","03,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02981099999","1901-01-02T13:00:00","4","59.7833333","21.3666666","6.8","PARAINEN UTO, FI","FM-12","99999","V020","270,1,N,0118,1","99999,9,9,N","000000,1,N,9","-0022,1","+9999,9","10244,1","05,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02981099999","1901-01-02T20:00:00","4","59.7833333","21.3666666","6.8","PARAINEN UTO, FI","FM-12","99999","V020","270,1,N,0098,1","99999,9,9,N","000000,1,N,9","-0011,1","+9999,9","10248,1","05,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02981099999","1901-01-03T06:00:00","4","59.7833333","21.3666666","6.8","PARAINEN UTO, FI","FM-12","99999","V020","250,1,N,0098,1","99999,9,9,N","000000,1,N,9","-0022,1","+9999,9","10259,1","05,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02981099999","1901-01-03T13:00:00","4","59.7833333","21.3666666","6.8","PARAINEN UTO, FI","FM-12","99999","V020","250,1,N,0139,1","99999,9,9,N","000000,1,N,9","-0022,1","+9999,9","10243,1","05,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02981099999","1901-01-03T20:00:00","4","59.7833333","21.3666666","6.8","PARAINEN UTO, FI","FM-12","99999","V020","250,1,N,0098,1","99999,9,9,N","000000,1,N,9","-0022,1","+9999,9","10223,1","08,99,1,99,9,99,9,99999,9,99,9,99,9","72,1",
"02981099999","1901-01-04T06:00:00","4","59.7833333","21.3666666","6.8","PARAINEN UTO, FI","FM-12","99999","V020","230,1,N,0062,1","99999,9,9,N","000000,1,N,9","-0017,1","+9999,9","10224,1","04,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02981099999","1901-01-04T13:00:00","4","59.7833333","21.3666666","6.8","PARAINEN UTO, FI","FM-12","99999","V020","270,1,N,0051,1","99999,9,9,N","000000,1,N,9","-0017,1","+9999,9","10247,1","05,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02981099999","1901-01-04T20:00:00","4","59.7833333","21.3666666","6.8","PARAINEN UTO, FI","FM-12","99999","V020","250,1,N,0031,1","99999,9,9,N","000000,1,N,9","-0017,1","+9999,9","10271,1","06,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02981099999","1901-01-05T06:00:00","4","59.7833333","21.3666666","6.8","PARAINEN UTO, FI","FM-12","99999","V020","270,1,N,0051,1","99999,9,9,N","000000,1,N,9","+0000,1","+9999,9","10288,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02981099999","1901-01-05T13:00:00","4","59.7833333","21.3666666","6.8","PARAINEN UTO, FI","FM-12","99999","V020","250,1,N,0149,1","99999,9,9,N","000000,1,N,9","+0011,1","+9999,9","10323,1","06,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02981099999","1901-01-05T20:00:00","4","59.7833333","21.3666666","6.8","PARAINEN UTO, FI","FM-12","99999","V020","270,1,N,0082,1","99999,9,9,N","000000,1,N,9","+0011,1","+9999,9","10331,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02981099999","1901-01-06T06:00:00","4","59.7833333","21.3666666","6.8","PARAINEN UTO, FI","FM-12","99999","V020","270,1,N,0031,1","99999,9,9,N","000000,1,N,9","+0000,1","+9999,9","10336,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02981099999","1901-01-06T13:00:00","4","59.7833333","21.3666666","6.8","PARAINEN UTO, FI","FM-12","99999","V020","270,1,N,0051,1","99999,9,9,N","000000,1,N,9","-0006,1","+9999,9","10339,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02981099999","1901-01-06T20:00:00","4","59.7833333","21.3666666","6.8","PARAINEN UTO, FI","FM-12","99999","V020","270,1,N,0041,1","99999,9,9,N","000000,1,N,9","-0006,1","+9999,9","10363,1","06,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02981099999","1901-01-07T06:00:00","4","59.7833333","21.3666666","6.8","PARAINEN UTO, FI","FM-12","99999","V020","270,1,N,0031,1","99999,9,9,N","000000,1,N,9","-0011,1","+9999,9","10332,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02981099999","1901-01-07T13:00:00","4","59.7833333","21.3666666","6.8","PARAINEN UTO, FI","FM-12","99999","V020","320,1,N,0041,1","99999,9,9,N","000000,1,N,9","-0006,1","+9999,9","10346,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02981099999","1901-01-07T20:00:00","4","59.7833333","21.3666666","6.8","PARAINEN UTO, FI","FM-12","99999","V020","270,1,N,0021,1","99999,9,9,N","000000,1,N,9","-0006,1","+9999,9","10355,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02981099999","1901-01-08T06:00:00","4","59.7833333","21.3666666","6.8","PARAINEN UTO, FI","FM-12","99999","V020","200,1,N,0062,1","99999,9,9,N","000000,1,N,9","-0011,1","+9999,9","10350,1","08,99,1,99,9,99,9,99999,9,99,9,99,9","70,1",
"02981099999","1901-01-08T13:00:00","4","59.7833333","21.3666666","6.8","PARAINEN UTO, FI","FM-12","99999","V020","270,1,N,0031,1","99999,9,9,N","000000,1,N,9","-0017,1","+9999,9","10360,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02981099999","1901-01-08T20:00:00","4","59.7833333","21.3666666","6.8","PARAINEN UTO, FI","FM-12","99999","V020","230,1,N,0062,1","99999,9,9,N","000000,1,N,9","-0017,1","+9999,9","10336,1","08,99,1,99,9,99,9,99999,9,99,9,99,9","70,1",
"02981099999","1901-01-09T06:00:00","4","59.7833333","21.3666666","6.8","PARAINEN UTO, FI","FM-12","99999","V020","230,1,N,0098,1","99999,9,9,N","000000,1,N,9","+0006,1","+9999,9","10288,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",,
