"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","GF1","MW1","EQD"
"02869099999","1909-01-01T06:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","200,1,N,0062,1","99999,9,9,N","000000,1,N,9","-0089,1","+9999,9","09944,1","08,99,1,99,9,99,9,99999,9,99,9,99,9","72,1",
"02869099999","1909-01-01T13:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","200,1,N,0062,1","99999,9,9,N","000000,1,N,9","-0089,1","+9999,9","09915,1","08,99,1,99,9,99,9,99999,9,99,9,99,9","72,1",
"02869099999","1909-01-01T20:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","250,1,N,0041,1","99999,9,9,N","000000,1,N,9","-0056,1","+9999,9","09899,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02869099999","1909-01-02T06:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","230,1,N,0062,1","99999,9,9,N","000000,1,N,9","-0044,1","+9999,9","09840,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02869099999","1909-01-02T13:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","180,1,N,0062,1","99999,9,9,N","000000,1,N,9","-0044,1","+9999,9","09748,1","08,99,1,99,9,99,9,99999,9,99,9,99,9","72,1",
"02869099999","1909-01-02T20:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","230,1,N,0082,1","99999,9,9,N","000000,1,N,9","-0022,1","+9999,9","09671,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02869099999","1909-01-03T06:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","270,1,N,0082,1","99999,9,9,N","000000,1,N,9","+0011,1","+9999,9","09702,1","06,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02869099999","1909-01-03T13:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","230,1,N,0062,1","99999,9,9,N","000000,1,N,9","-0067,1","+9999,9","09728,1","02,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02869099999","1909-01-03T20:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","200,1,N,0041,1","99999,9,9,N","000000,1,N,9","-0028,1","+9999,9","09636,1","08,99,1,99,9,99,9,99999,9,99,9,99,9","74,1",
"02869099999","1909-01-04T06:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","270,1,N,0041,1","99999,9,9,N","000000,1,N,9","-0033,1","+9999,9","09631,1","00,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02869099999","1909-01-04T13:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","270,1,N,0041,1","99999,9,9,N","000000,1,N,9","-0044,1","+9999,9","09642,1","04,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02869099999","1909-01-04T20:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","270,1,N,0062,1","99999,9,9,N","000000,1,N,9","-0067,1","+9999,9","09636,1","01,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02869099999","1909-01-05T06:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","360,1,N,0062,1","99999,9,9,N","000000,1,N,9","-0050,1","+9999,9","09695,1","02,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02869099999","1909-01-05T13:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","340,1,N,0041,1","99999,9,9,N","000000,1,N,9","-0039,1","+9999,9","09754,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02869099999","1909-01-05T20:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","050,1,N,0021,1","99999,9,9,N","000000,1,N,9","-0089,1","+9999,9","09818,1","02,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02869099999","1909-01-06T06:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","999,1,C,0000,1","99999,9,9,N","000000,1,N,9","-0117,1","+9999,9","09838,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02869099999","1909-01-06T13:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","180,1,N,0041,1","99999,9,9,N","000000,1,N,9","-0089,1","+9999,9","09759,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02869099999","1909-01-06T20:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","360,1,N,0082,1","99999,9,9,N","000000,1,N,9","-0067,1","+9999,9","09672,1","07,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02869099999","1909-01-07T06:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","999,1,C,0000,1","99999,9,9,N","000000,1,N,9","-0194,1","+9999,9","09712,1","06,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02869099999","1909-01-07T13:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","140,1,N,0041,1","99999,9,9,N","000000,1,N,9","-0128,1","+9999,9","09710,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02869099999","1909-01-07T20:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","140,1,N,0021,1","99999,9,9,N","000000,1,N,9","-0144,1","+9999,9","09711,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",,
