"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","GF1","MW1"
"02982099999","1909-01-01T06:00:00","4","59.7666666","22.95","6.5","HANKO RUSSARO, FI","FM-12","99999","V020","180,1,N,0046,1","99999,9,9,N","000000,1,N,9","-0050,1","+9999,9","10372,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02982099999","1909-01-01T13:00:00","4","59.7666666","22.95","6.5","HANKO RUSSARO, FI","FM-12","99999","V020","180,1,N,0093,1","99999,9,9,N","000000,1,N,9","-0033,1","+9999,9","10354,1","08,99,1,99,9,99,9,99999,9,99,9,99,9","72,1"
"02982099999","1909-01-01T20:00:00","4","59.7666666","22.95","6.5","HANKO RUSSARO, FI","FM-12","99999","V020","320,1,N,0026,1","99999,9,9,N","000000,1,N,9","-0011,1","+9999,9","10342,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02982099999","1909-01-02T06:00:00","4","59.7666666","22.95","6.5","HANKO RUSSARO, FI","FM-12","99999","V020","270,1,N,0046,1","99999,9,9,N","000000,1,N,9","+0006,1","+9999,9","10290,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02982099999","1909-01-02T13:00:00","4","59.7666666","22.95","6.5","HANKO RUSSARO, FI","FM-12","99999","V020","270,1,N,0123,1","99999,9,9,N","000000,1,N,9","+0011,1","+9999,9","10208,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02982099999","1909-01-02T20:00:00","4","59.7666666","22.95","6.5","HANKO RUSSARO, FI","FM-12","99999","V020","270,1,N,0010,1","99999,9,9,N","000000,1,N,9","+0011,1","+9999,9","10199,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02982099999","1909-01-03T06:00:00","4","59.7666666","22.95","6.5","HANKO RUSSARO, FI","FM-12","99999","V020","320,1,N,0026,1","99999,9,9,N","000000,1,N,9","-0006,1","+9999,9","10214,1","00,99,1,99,9,99,9,99999,9,99,9,99,9",
"02982099999","1909-01-03T13:00:00","4","59.7666666","22.95","6.5","HANKO RUSSARO, FI","FM-12","99999","V020","250,1,N,0026,1","99999,9,9,N","000000,1,N,9","+0000,1","+9999,9","10215,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02982099999","1909-01-03T20:00:00","4","59.7666666","22.95","6.5","HANKO RUSSARO, FI","FM-12","99999","V020","250,1,N,0067,1","99999,9,9,N","000000,1,N,9","+0011,1","+9999,9","10163,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02982099999","1909-01-04T06:00:00","4","59.7666666","22.95","6.5","HANKO RUSSARO, FI","FM-12","99999","V020","270,1,N,0010,1","99999,9,9,N","000000,1,N,9","+0006,1","+9999,9","10123,1","02,99,1,99,9,99,9,99999,9,99,9,99,9",
"02982099999","1909-01-04T13:00:00","4","59.7666666","22.95","6.5","HANKO RUSSARO, FI","FM-12","99999","V020","270,1,N,0010,1","99999,9,9,N","000000,1,N,9","+0017,1","+9999,9","10099,1","02,99,1,99,9,99,9,99999,9,99,9,99,9",
"02982099999","1909-01-04T20:00:00","4","59.7666666","22.95","6.5","HANKO RUSSARO, FI","FM-12","99999","V020","290,1,N,0010,1","99999,9,9,N","000000,1,N,9","+0017,1","+9999,9","10107,1","02,99,1,99,9,99,9,99999,9,99,9,99,9",
"02982099999","1909-01-05T06:00:00","4","59.7666666","22.95","6.5","HANKO RUSSARO, FI","FM-12","99999","V020","320,1,N,0067,1","99999,9,9,N","000000,1,N,9","+0017,1","+9999,9","10164,1","06,99,1,99,9,99,9,99999,9,99,9,99,9",
"02982099999","1909-01-05T13:00:00","4","59.7666666","22.95","6.5","HANKO RUSSARO, FI","FM-12","99999","V020","320,1,N,0010,1","99999,9,9,N","000000,1,N,9","+0011,1","+9999,9","10204,1","01,99,1,99,9,99,9,99999,9,99,9,99,9",
"02982099999","1909-01-05T20:00:00","4","59.7666666","22.95","6.5","HANKO RUSSARO, FI","FM-12","99999","V020","320,1,N,0010,1","99999,9,9,N","000000,1,N,9","-0011,1","+9999,9","10200,1","07,99,1,99,9,99,9,99999,9,99,9,99,9",
"02982099999","1909-01-06T06:00:00","4","59.7666666","22.95","6.5","HANKO RUSSARO, FI","FM-12","99999","V020","320,1,N,0010,1","99999,9,9,N","000000,1,N,9","-0017,1","+9999,9","10175,1","05,99,1,99,9,99,9,99999,9,99,9,99,9",
"02982099999","1909-01-06T13:00:00","4","59.7666666","22.95","6.5","HANKO RUSSARO, FI","FM-12","99999","V020","250,1,N,0010,1","99999,9,9,N","000000,1,N,9","+0011,1","+9999,9","10142,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02982099999","1909-01-06T20:00:00","4","59.7666666","22.95","6.5","HANKO RUSSARO, FI","FM-12","99999","V020","180,1,N,0010,1","99999,9,9,N","000000,1,N,9","-0006,1","+9999,9","10102,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02982099999","1909-01-07T06:00:00","4","59.7666666","22.95","6.5","HANKO RUSSARO, FI","FM-12","99999","V020","270,1,N,0010,1","99999,9,9,N","000000,1,N,9","-0011,1","+9999,9","10046,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02982099999","1909-01-07T13:00:00","4","59.7666666","22.95","6.5","HANKO RUSSARO, FI","FM-12","99999","V020","270,1,N,0010,1","99999,9,9,N","000000,1,N,9","-0017,1","+9999,9","99999,9","08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02982099999","1909-01-07T20:00:00","4","59.7666666","22.95","6.5","HANKO RUSSARO, FI","FM-12","99999","V020","200,1,N,0010,1","99999,9,9,N","000000,1,N,9","+0000,1","+9999,9","09948,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02982099999","1909-01-08T06:00:00","4","59.7666666","22.95","6.5","HANKO RUSSARO, FI","FM-12","99999","V020","180,1,N,0010,1","99999,9,9,N","000000,1,N,9","-0006,1","+9999,9","09928,1","02,99,1,99,9,99,9,99999,9,99,9,99,9",
"02982099999","1909-01-08T13:00:00","4","59.7666666","22.95","6.5","HANKO RUSSARO, FI","FM-12","99999","V020","160,1,N,0046,1","99999,9,9,N","000000,1,N,9","+0006,1","+9999,9","09950,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02982099999","1909-01-08T20:00:00","4","59.7666666","22.95","6.5","HANKO RUSSARO, FI","FM-12","99999","V020","160,1,N,0026,1","99999,9,9,N","000000,1,N,9","+0000,1","+9999,9","10026,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",
