"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","GF1","MW1","EQD"
"02960099999","1902-01-08T20:00:00","4","61.183","22.617","51.0","RAIJALA, FI","FM-12","99999","V020","250,1,N,0072,1","99999,9,9,N","000000,1,N,9","-0006,1","+9999,9","09947,1","00,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02960099999","1902-01-09T06:00:00","4","61.183","22.617","51.0","RAIJALA, FI","FM-12","99999","V020","290,1,N,0062,1","99999,9,9,N","000000,1,N,9","+0006,1","+9999,9","09963,1","02,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02960099999","1902-01-09T13:00:00","4","61.183","22.617","51.0","RAIJALA, FI","FM-12","99999","V020","250,1,N,0051,1","99999,9,9,N","000000,1,N,9","+0000,1","+9999,9","09960,1","07,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02960099999","1902-01-09T20:00:00","4","61.183","22.617","51.0","RAIJALA, FI","FM-12","99999","V020","110,1,N,0010,1","99999,9,9,N","000000,1,N,9","-0117,1","+9999,9","09966,1","00,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02960099999","1902-01-10T06:00:00","4","61.183","22.617","51.0","RAIJALA, FI","FM-12","99999","V020","200,1,N,0062,1","99999,9,9,N","000000,1,N,9","+0006,1","+9999,9","09784,1","08,99,1,99,9,99,9,99999,9,99,9,99,9","72,1",
"02960099999","1902-01-10T13:00:00","4","61.183","22.617","51.0","RAIJALA, FI","FM-12","99999","V020","270,1,N,0098,1","99999,9,9,N","000000,1,N,9","+0017,1","+9999,9","09764,1","08,99,1,99,9,99,9,99999,9,99,9,99,9","72,1",
"02960099999","1902-01-10T20:00:00","4","61.183","22.617","51.0","RAIJALA, FI","FM-12","99999","V020","250,1,N,0098,1","99999,9,9,N","000000,1,N,9","+0011,1","+9999,9","09774,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02960099999","1902-01-11T06:00:00","4","61.183","22.617","51.0","RAIJALA, FI","FM-12","99999","V020","270,1,N,0051,1","99999,9,9,N","000000,1,N,9","-0033,1","+9999,9","09755,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02960099999","1902-01-11T13:00:00","4","61.183","22.617","51.0","RAIJALA, FI","FM-12","99999","V020","320,1,N,0041,1","99999,9,9,N","000000,1,N,9","-0094,1","+9999,9","09812,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02960099999","1902-01-11T20:00:00","4","61.183","22.617","51.0","RAIJALA, FI","FM-12","99999","V020","360,1,N,0031,1","99999,9,9,N","000000,1,N,9","-0133,1","+9999,9","09920,1","00,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02960099999","1902-01-12T06:00:00","4","61.183","22.617","51.0","RAIJALA, FI","FM-12","99999","V020","110,1,N,0010,1","99999,9,9,N","000000,1,N,9","-0139,1","+9999,9","09996,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02960099999","1902-01-12T13:00:00","4","61.183","22.617","51.0","RAIJALA, FI","FM-12","99999","V020","140,1,N,0010,1","99999,9,9,N","000000,1,N,9","-0111,1","+9999,9","10018,1","01,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02960099999","1902-01-12T20:00:00","4","61.183","22.617","51.0","RAIJALA, FI","FM-12","99999","V020","160,1,N,0021,1","99999,9,9,N","000000,1,N,9","-0150,1","+9999,9","09975,1","04,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02960099999","1902-01-13T06:00:00","4","61.183","22.617","51.0","RAIJALA, FI","FM-12","99999","V020","090,1,N,0041,1","99999,9,9,N","000000,1,N,9","-0072,1","+9999,9","09882,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02960099999","1902-01-13T13:00:00","4","61.183","22.617","51.0","RAIJALA, FI","FM-12","99999","V020","110,1,N,0041,1","99999,9,9,N","000000,1,N,9","-0061,1","+9999,9","09870,1","08,99,1,99,9,99,9,99999,9,99,9,99,9","72,1",
"02960099999","1902-01-13T20:00:00","4","61.183","22.617","51.0","RAIJALA, FI","FM-12","99999","V020","110,1,N,0051,1","99999,9,9,N","000000,1,N,9","-0078,1","+9999,9","09902,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02960099999","1902-01-14T06:00:00","4","61.183","22.617","51.0","RAIJALA, FI","FM-12","99999","V020","360,1,N,0031,1","99999,9,9,N","000000,1,N,9","-0106,1","+9999,9","09964,1","08,99,1,99,9,99,9,99999,9,99,9,99,9","72,1",
"02960099999","1902-01-14T13:00:00","4","61.183","22.617","51.0","RAIJALA, FI","FM-12","99999","V020","360,1,N,0072,1","99999,9,9,N","000000,1,N,9","-0111,1","+9999,9","10040,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02960099999","1902-01-14T20:00:00","4","61.183","22.617","51.0","RAIJALA, FI","FM-12","99999","V020","320,1,N,0031,1","99999,9,9,N","000000,1,N,9","-0194,1","+9999,9","10120,1","00,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02960099999","1902-01-15T06:00:00","4","61.183","22.617","51.0","RAIJALA, FI","FM-12","99999","V020","340,1,N,0010,1","99999,9,9,N","000000,1,N,9","-0300,1","+9999,9","10175,1","00,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02960099999","1902-01-15T13:00:00","4","61.183","22.617","51.0","RAIJALA, FI","FM-12","99999","V020","140,1,N,0041,1","99999,9,9,N","000000,1,N,9","-0189,1","+9999,9","10138,1","06,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02960099999","1902-01-15T20:00:00","4","61.183","22.617","51.0","RAIJALA, FI","FM-12","99999","V020","200,1,N,0108,1","99999,9,9,N","000000,1,N,9","-0061,1","+9999,9","09962,1","08,99,1,99,9,99,9,99999,9,99,9,99,9","72,1",
"02960099999","1902-01-16T06:00:00","4","61.183","22.617","51.0","RAIJALA, FI","FM-12","99999","V020","230,1,N,0041,1","99999,9,9,N","000000,1,N,9","-0006,1","+9999,9","09694,2","08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02960099999","1902-01-16T13:00:00","4","61.183","22.617","51.0","RAIJALA, FI","FM-12","99999","V020","320,1,N,0098,1","99999,9,9,N","000000,1,N,9","+0017,1","+9999,9","09734,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02960099999","1902-01-16T20:00:00","4","61.183","22.617","51.0","RAIJALA, FI","FM-12","99999","V020","320,1,N,0072,1","99999,9,9,N","000000,1,N,9","-0033,1","+9999,9","09868,1","02,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02960099999","1902-01-17T06:00:00","4","61.183","22.617","51.0","RAIJALA, FI","FM-12","99999","V020","290,1,N,0098,1","99999,9,9,N","000000,1,N,9","-0028,1","+9999,9","09940,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02960099999","1902-01-17T13:00:00","4","61.183","22.617","51.0","RAIJALA, FI","FM-12","99999","V020","270,1,N,0051,1","99999,9,9,N","000000,1,N,9","-0050,1","+9999,9","09975,1","01,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02960099999","1902-01-17T20:00:00","4","61.183","22.617","51.0","RAIJALA, FI","FM-12","99999","V020","290,1,N,0010,1","99999,9,9,N","000000,1,N,9","-0150,1","+9999,9","99999,9","00,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02960099999","1902-01-18T06:00:00","4","61.183","22.617","51.0","RAIJALA, FI","FM-12","99999","V020","320,1,N,0021,1","99999,9,9,N","000000,1,N,9","-0156,1","+9999,9","10028,1","06,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02960099999","1902-01-18T13:00:00","4","61.183","22.617","51.0","RAIJALA, FI","FM-12","99999","V020","320,1,N,0062,1","99999,9,9,N","000000,1,N,9","-0144,1","+9999,9","10074,1","00,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02960099999","1902-01-18T20:00:00","4","61.183","22.617","51.0","RAIJALA, FI","FM-12","99999","V020","320,1,N,0051,1","99999,9,9,N","000000,1,N,9","-0150,1","+9999,9","10139,1","00,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02960099999","1902-01-19T06:00:00","4","61.183","22.617","51.0","RAIJALA, FI","FM-12","99999","V020","140,1,N,0010,1","99999,9,9,N","000000,1,N,9","-0289,1","+9999,9","10174,1","01,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02960099999","1902-01-19T13:00:00","4","61.183","22.617","51.0","RAIJALA, FI","FM-12","99999","V020","180,1,N,0031,1","99999,9,9,N","000000,1,N,9","-0156,1","+9999,9","10138,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02960099999","1902-01-19T20:00:00","4","61.183","22.617","51.0","RAIJALA, FI","FM-12","99999","V020","160,1,N,0087,1","99999,9,9,N","000000,1,N,9","-0106,1","+9999,9","10034,1","08,99,1,99,9,99,9,99999,9,99,9,99,9","72,1",
"02960099999","1902-01-20T06:00:00","4","61.183","22.617","51.0","RAIJALA, FI","FM-12","99999","V020","180,1,N,0072,1","99999,9,9,N","000000,1,N,9","-0044,1","+9999,9","09838,1","08,99,1,99,9,99,9,99999,9,99,9,99,9","72,1",
"02960099999","1902-01-20T13:00:00","4","61.183","22.617","51.0","RAIJALA, FI","FM-12","99999","V020","230,1,N,0041,1","99999,9,9,N","000000,1,N,9","+0017,1","+9999,9","09730,1","08,99,1,99,9,99,9,99999,9,99,9,99,9","62,1",
"02960099999","1902-01-20T20:00:00","4","61.183","22.617","51.0","RAIJALA, FI","FM-12","99999","V020","290,1,N,0087,1","99999,9,9,N","000000,1,N,9","+0000,1","+9999,9","09731,1","08,99,1,99,9,99,9,99999,9,99,9,99,9","72,1",
"02960099999","1902-01-21T06:00:00","4","61.183","22.617","51.0","RAIJALA, FI","FM-12","99999","V020","270,1,N,0098,1","99999,9,9,N","000000,1,N,9","-0011,1","+9999,9","09763,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02960099999","1902-01-21T13:00:00","4","61.183","22.617","51.0","RAIJALA, FI","FM-12","99999","V020","360,1,N,0087,1","99999,9,9,N","000000,1,N,9","-0078,1","+9999,9","09866,1","08,99,1,99,9,99,9,99999,9,99,9,99,9","72,1",
"02960099999","1902-01-21T20:00:00","4","61.183","22.617","51.0","RAIJALA, FI","FM-12","99999","V020","320,1,N,0062,1","99999,9,9,N","000000,1,N,9","-0133,1","+9999,9","09980,1","06,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02960099999","1902-01-22T06:00:00","4","61.183","22.617","51.0","RAIJALA, FI","FM-12","99999","V020","360,1,N,0041,1","99999,9,9,N","000000,1,N,9","-0178,1","+9999,9","10079,1","00,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02960099999","1902-01-22T13:00:00","4","61.183","22.617","51.0","RAIJALA, FI","FM-12","99999","V020","320,1,N,0010,1","99999,9,9,N","000000,1,N,9","-0194,1","+9999,9","10119,1","00,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02960099999","1902-01-22T20:00:00","4","61.183","22.617","51.0","RAIJALA, FI","FM-12","99999","V020","160,1,N,0082,1","99999,9,9,N","000000,1,N,9","-0139,1","+9999,9","10075,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02960099999","1902-01-23T06:00:00","4","61.183","22.617","51.0","RAIJALA, FI","FM-12","99999","V020","230,1,N,0041,1","99999,9,9,N","000000,1,N,9","-0033,1","+9999,9","10038,1","04,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02960099999","1902-01-23T13:00:00","4","61.183","22.617","51.0","RAIJALA, FI","FM-12","99999","V020","200,1,N,0031,1","99999,9,9,N","000000,1,N,9","-0028,1","+9999,9","10043,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02960099999","1902-01-23T20:00:00","4","61.183","22.617","51.0","RAIJALA, FI","FM-12","99999","V020","180,1,N,0072,1","99999,9,9,N","000000,1,N,9","-0017,1","+9999,9","09999,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02960099999","1902-01-24T06:00:00","4","61.183","22.617","51.0","RAIJALA, FI","FM-12","99999","V020","230,1,N,0041,1","99999,9,9,N","000000,1,N,9","+0017,1","+9999,9","09939,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02960099999","1902-01-24T13:00:00","4","61.183","22.617","51.0","RAIJALA, FI","FM-12","99999","V020","230,1,N,0041,1","99999,9,9,N","000000,1,N,9","+0022,1","+9999,9","09939,1","08,99,1,99,9,99,9,99999,9,99,9,99,9","62,1",
"02960099999","1902-01-24T20:00:00","4","61.183","22.617","51.0","RAIJALA, FI","FM-12","99999","V020","200,1,N,0062,1","99999,9,9,N","000000,1,N,9","+0022,1","+9999,9","09934,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02960099999","1902-01-25T06:00:00","4","61.183","22.617","51.0","RAIJALA, FI","FM-12","99999","V020","180,1,N,0062,1","99999,9,9,N","000000,1,N,9","+0011,1","+9999,9","09902,1","08,99,1,99,9,99,9,99999,9,99,9,99,9","62,1",
"02960099999","1902-01-25T13:00:00","4","61.183","22.617","51.0","RAIJALA, FI","FM-12","99999","V020","180,1,N,0062,1","99999,9,9,N","000000,1,N,9","+0011,1","+9999,9","09863,1","08,99,1,99,9,99,9,99999,9,99,9,99,9","62,1",
"02960099999","1902-01-25T20:00:00","4","61.183","22.617","51.0","RAIJALA, FI","FM-12","99999","V020","180,1,N,0082,1","99999,9,9,N","000000,1,N,9","+0011,1","+9999,9","09846,1","08,99,1,99,9,99,9,99999,9,99,9,99,9","62,1",
"02960099999","1902-01-26T06:00:00","4","61.183","22.617","51.0","RAIJALA, FI","FM-12","99999","V020","180,1,N,0072,1","99999,9,9,N","000000,1,N,9","+0006,1","+9999,9","09811,1","08,99,1,99,9,99,9,99999,9,99,9,99,9","72,1",
"02960099999","1902-01-26T13:00:00","4","61.183","22.617","51.0","RAIJALA, FI","FM-12","99999","V020","180,1,N,0051,1","99999,9,9,N","000000,1,N,9","+0011,1","+9999,9","09808,1","08,99,1,99,9,99,9,99999,9,99,9,99,9","72,1",
"02960099999","1902-01-26T20:00:00","4","61.183","22.617","51.0","RAIJALA, FI","FM-12","99999","V020","200,1,N,0041,1","99999,9,9,N","000000,1,N,9","+0006,1","+9999,9","09810,1","08,99,1,99,9,99,9,99999,9,99,9,99,9","72,1",
"02960099999","1902-01-27T06:00:00","4","61.183","22.617","51.0","RAIJALA, FI","FM-12","99999","V020","180,1,N,0062,1","99999,9,9,N","000000,1,N,9","-0006,1","+9999,9","09816,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02960099999","1902-01-27T13:00:00","4","61.183","22.617","51.0","RAIJALA, FI","FM-12","99999","V020","160,1,N,0041,1","99999,9,9,N","000000,1,N,9","+0006,1","+9999,9","09834,1","06,99,1,99,9,99,9,99999,9,99,9,99,9","72,1",
"02960099999","1902-01-27T20:00:00","4","61.183","22.617","51.0","RAIJALA, FI","FM-12","99999","V020","200,1,N,0051,1","99999,9,9,N","000000,1,N,9","-0011,1","+9999,9","09880,1","08,99,1,99,9,99,9,99999,9,99,9,99,9","72,1",
"02960099999","1902-01-28T06:00:00","4","61.183","22.617","51.0","RAIJALA, FI","FM-12","99999","V020","160,1,N,0082,1","99999,9,9,N","000000,1,N,9","-0011,1","+9999,9","09847,1","08,99,1,99,9,99,9,99999,9,99,9,99,9","72,1",
"02960099999","1902-01-28T13:00:00","4","61.183","22.617","51.0","RAIJALA, FI","FM-12","99999","V020","160,1,N,0062,1","99999,9,9,N","000000,1,N,9","-0033,1","+9999,9","09887,1","02,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02960099999","1902-01-28T20:00:00","4","61.183","22.617","51.0","RAIJALA, FI","FM-12","99999","V020","180,1,N,0041,1","99999,9,9,N","000000,1,N,9","-0100,1","+9999,9","09947,1","01,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02960099999","1902-01-29T06:00:00","4","61.183","22.617","51.0","RAIJALA, FI","FM-12","99999","V020","200,1,N,0031,1","99999,9,9,N","000000,1,N,9","-0033,1","+9999,9","09971,1","04,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02960099999","1902-01-29T13:00:00","4","61.183","22.617","51.0","RAIJALA, FI","FM-12","99999","V020","110,1,N,0010,1","99999,9,9,N","000000,1,N,9","-0061,1","+9999,9","10019,1","01,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02960099999","1902-01-29T20:00:00","4","61.183","22.617","51.0","RAIJALA, FI","FM-12","99999","V020","110,1,N,0062,1","99999,9,9,N","000000,1,N,9","-0056,1","+9999,9","10096,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02960099999","1902-01-30T06:00:00","4","61.183","22.617","51.0","RAIJALA, FI","FM-12","99999","V020","110,1,N,0041,1","99999,9,9,N","000000,1,N,9","-0067,1","+9999,9","10175,1","05,99,1,99,9,99,9,99999,9,99,9,99,9",,
"02960099999","1902-01-30T13:00:00","4","61.183","22.617","51.0","RAIJALA, FI","FM-12","99999","V020","340,1,N,0031,1","99999,9,9,N","000000,1,N,9","-0094,1","+9999,9","10222,1","01,99,1,99,9,99,9,99999,9,99,9,99,9",,
