"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AJ1","GF1","MW1"
"02869099999","1912-01-01T06:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","230,1,N,0021,1","99999,9,9,N","000000,1,N,9","-0017,1","+9999,9","09646,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02869099999","1912-01-01T13:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","050,1,N,0021,1","99999,9,9,N","000000,1,N,9","-0050,1","+9999,9","09686,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9","72,1"
"02869099999","1912-01-01T20:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","090,1,N,0041,1","99999,9,9,N","000000,1,N,9","-0078,1","+9999,9","09698,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02869099999","1912-01-02T06:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","050,1,N,0062,1","99999,9,9,N","000000,1,N,9","-0111,1","+9999,9","09592,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9","72,1"
"02869099999","1912-01-02T13:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","050,1,N,0062,1","99999,9,9,N","000000,1,N,9","-0100,1","+9999,9","09568,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9","72,1"
"02869099999","1912-01-02T20:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","050,1,N,0082,1","99999,9,9,N","000000,1,N,9","-0111,1","+9999,9","09599,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9","72,1"
"02869099999","1912-01-03T06:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","999,1,C,0000,1","99999,9,9,N","000000,1,N,9","-0150,1","+9999,9","09663,1",,"00,99,1,99,9,99,9,99999,9,99,9,99,9",
"02869099999","1912-01-03T13:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","999,1,C,0000,1","99999,9,9,N","000000,1,N,9","-0172,1","+9999,9","09680,1",,"06,99,1,99,9,99,9,99999,9,99,9,99,9",
"02869099999","1912-01-03T20:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","999,1,C,0000,1","99999,9,9,N","000000,1,N,9","-0217,1","+9999,9","09694,1",,"00,99,1,99,9,99,9,99999,9,99,9,99,9",
"02869099999","1912-01-04T06:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","999,1,C,0000,1","99999,9,9,N","000000,1,N,9","-0206,1","+9999,9","09694,1",,"00,99,1,99,9,99,9,99999,9,99,9,99,9",
"02869099999","1912-01-04T13:00:00","4","65.987575","29.239381","263.95","KUUSAMO, FI","FM-12","99999","V020","360,1,N,0021,1","99999,9,9,N","000000,1,N,9","-0183,1","+9999,9","09696,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",
