"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","GF1","MW1"
"02981099999","1905-01-01T06:00:00","4","59.7833333","21.3666666","6.8","PARAINEN UTO, FI","FM-12","99999","V020","070,1,N,0082,1","99999,9,9,N","000000,1,N,9","-0100,1","+9999,9","10366,1","06,99,1,99,9,99,9,99999,9,99,9,99,9",
"02981099999","1905-01-01T13:00:00","4","59.7833333","21.3666666","6.8","PARAINEN UTO, FI","FM-12","99999","V020","270,1,N,0021,1","99999,9,9,N","000000,1,N,9","-0083,1","+9999,9","10375,1","05,99,1,99,9,99,9,99999,9,99,9,99,9",
"02981099999","1905-01-01T20:00:00","4","59.7833333","21.3666666","6.8","PARAINEN UTO, FI","FM-12","99999","V020","250,1,N,0108,1","99999,9,9,N","000000,1,N,9","-0067,1","+9999,9","10331,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02981099999","1905-01-02T06:00:00","4","59.7833333","21.3666666","6.8","PARAINEN UTO, FI","FM-12","99999","V020","250,1,N,0170,1","99999,9,9,N","000000,1,N,9","-0033,1","+9999,9","10216,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02981099999","1905-01-02T13:00:00","4","59.7833333","21.3666666","6.8","PARAINEN UTO, FI","FM-12","99999","V020","230,1,N,0252,1","99999,9,9,N","000000,1,N,9","-0011,1","+9999,9","10132,1","08,99,1,99,9,99,9,99999,9,99,9,99,9","74,1"
"02981099999","1905-01-02T20:00:00","4","59.7833333","21.3666666","6.8","PARAINEN UTO, FI","FM-12","99999","V020","230,1,N,0211,1","99999,9,9,N","000000,1,N,9","+0011,1","+9999,9","10076,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02981099999","1905-01-03T06:00:00","4","59.7833333","21.3666666","6.8","PARAINEN UTO, FI","FM-12","99999","V020","250,1,N,0159,1","99999,9,9,N","000000,1,N,9","+0033,1","+9999,9","09934,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02981099999","1905-01-03T13:00:00","4","59.7833333","21.3666666","6.8","PARAINEN UTO, FI","FM-12","99999","V020","270,1,N,0170,1","99999,9,9,N","000000,1,N,9","+0056,1","+9999,9","09890,1","04,99,1,99,9,99,9,99999,9,99,9,99,9",
"02981099999","1905-01-03T20:00:00","4","59.7833333","21.3666666","6.8","PARAINEN UTO, FI","FM-12","99999","V020","290,1,N,0098,1","99999,9,9,N","000000,1,N,9","+0022,1","+9999,9","09900,1","04,99,1,99,9,99,9,99999,9,99,9,99,9",
"02981099999","1905-01-04T06:00:00","4","59.7833333","21.3666666","6.8","PARAINEN UTO, FI","FM-12","99999","V020","290,1,N,0139,1","99999,9,9,N","000000,1,N,9","-0011,1","+9999,9","09896,1","05,99,1,99,9,99,9,99999,9,99,9,99,9",
"02981099999","1905-01-04T13:00:00","4","59.7833333","21.3666666","6.8","PARAINEN UTO, FI","FM-12","99999","V020","320,1,N,0149,1","99999,9,9,N","000000,1,N,9","-0011,1","+9999,9","09919,1","02,99,1,99,9,99,9,99999,9,99,9,99,9",
"02981099999","1905-01-04T20:00:00","4","59.7833333","21.3666666","6.8","PARAINEN UTO, FI","FM-12","99999","V020","320,1,N,0098,1","99999,9,9,N","000000,1,N,9","-0022,1","+9999,9","09931,1","02,99,1,99,9,99,9,99999,9,99,9,99,9",
"02981099999","1905-01-05T06:00:00","4","59.7833333","21.3666666","6.8","PARAINEN UTO, FI","FM-12","99999","V020","270,1,N,0082,1","99999,9,9,N","000000,1,N,9","-0022,1","+9999,9","09887,1","03,99,1,99,9,99,9,99999,9,99,9,99,9",
"02981099999","1905-01-05T13:00:00","4","59.7833333","21.3666666","6.8","PARAINEN UTO, FI","FM-12","99999","V020","320,1,N,0082,1","99999,9,9,N","000000,1,N,9","-0028,1","+9999,9","09891,1","06,99,1,99,9,99,9,99999,9,99,9,99,9",
"02981099999","1905-01-05T20:00:00","4","59.7833333","21.3666666","6.8","PARAINEN UTO, FI","FM-12","99999","V020","320,1,N,0062,1","99999,9,9,N","000000,1,N,9","-0028,1","+9999,9","09919,1","04,99,1,99,9,99,9,99999,9,99,9,99,9",
"02981099999","1905-01-06T06:00:00","4","59.7833333","21.3666666","6.8","PARAINEN UTO, FI","FM-12","99999","V020","250,1,N,0051,1","99999,9,9,N","000000,1,N,9","-0039,1","+9999,9","09916,1","05,99,1,99,9,99,9,99999,9,99,9,99,9",
"02981099999","1905-01-06T13:00:00","4","59.7833333","21.3666666","6.8","PARAINEN UTO, FI","FM-12","99999","V020","250,1,N,0082,1","99999,9,9,N","000000,1,N,9","-0033,1","+9999,9","09896,1","06,99,1,99,9,99,9,99999,9,99,9,99,9",
"02981099999","1905-01-06T20:00:00","4","59.7833333","21.3666666","6.8","PARAINEN UTO, FI","FM-12","99999","V020","180,1,N,0062,1","99999,9,9,N","000000,1,N,9","-0017,1","+9999,9","09844,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02981099999","1905-01-07T06:00:00","4","59.7833333","21.3666666","6.8","PARAINEN UTO, FI","FM-12","99999","V020","360,1,N,0031,1","99999,9,9,N","000000,1,N,9","-0011,1","+9999,9","09851,1","06,99,1,99,9,99,9,99999,9,99,9,99,9",
"02981099999","1905-01-07T13:00:00","4","59.7833333","21.3666666","6.8","PARAINEN UTO, FI","FM-12","99999","V020","360,1,N,0072,1","99999,9,9,N","000000,1,N,9","-0017,1","+9999,9","09912,1","06,99,1,99,9,99,9,99999,9,99,9,99,9","74,1"
"02981099999","1905-01-07T20:00:00","4","59.7833333","21.3666666","6.8","PARAINEN UTO, FI","FM-12","99999","V020","340,1,N,0108,1","99999,9,9,N","000000,1,N,9","-0028,1","+9999,9","10007,1","03,99,1,99,9,99,9,99999,9,99,9,99,9",
"02981099999","1905-01-08T06:00:00","4","59.7833333","21.3666666","6.8","PARAINEN UTO, FI","FM-12","99999","V020","270,1,N,0072,1","99999,9,9,N","000000,1,N,9","-0050,1","+9999,9","10084,1","04,99,1,99,9,99,9,99999,9,99,9,99,9",
"02981099999","1905-01-08T13:00:00","4","59.7833333","21.3666666","6.8","PARAINEN UTO, FI","FM-12","99999","V020","230,1,N,0087,1","99999,9,9,N","000000,1,N,9","-0017,1","+9999,9","10054,1","06,99,1,99,9,99,9,99999,9,99,9,99,9",
"02981099999","1905-01-08T20:00:00","4","59.7833333","21.3666666","6.8","PARAINEN UTO, FI","FM-12","99999","V020","180,1,N,0118,1","99999,9,9,N","000000,1,N,9","+0028,1","+9999,9","09952,1","08,99,1,99,9,99,9,99999,9,99,9,99,9","62,1"
"02981099999","1905-01-09T06:00:00","4","59.7833333","21.3666666","6.8","PARAINEN UTO, FI","FM-12","99999","V020","230,1,N,0180,1","99999,9,9,N","000000,1,N,9","+0039,1","+9999,9","09819,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02981099999","1905-01-09T13:00:00","4","59.7833333","21.3666666","6.8","PARAINEN UTO, FI","FM-12","99999","V020","230,1,N,0170,1","99999,9,9,N","000000,1,N,9","+0039,1","+9999,9","09795,1","04,99,1,99,9,99,9,99999,9,99,9,99,9",
"02981099999","1905-01-09T20:00:00","4","59.7833333","21.3666666","6.8","PARAINEN UTO, FI","FM-12","99999","V020","230,1,N,0159,1","99999,9,9,N","000000,1,N,9","+0039,1","+9999,9","09716,1","04,99,1,99,9,99,9,99999,9,99,9,99,9",
"02981099999","1905-01-10T06:00:00","4","59.7833333","21.3666666","6.8","PARAINEN UTO, FI","FM-12","99999","V020","290,1,N,0278,1","99999,9,9,N","000000,1,N,9","+0017,1","+9999,9","09703,1","04,99,1,99,9,99,9,99999,9,99,9,99,9",
"02981099999","1905-01-10T13:00:00","4","59.7833333","21.3666666","6.8","PARAINEN UTO, FI","FM-12","99999","V020","320,1,N,0298,1","99999,9,9,N","000000,1,N,9","-0017,1","+9999,9","09803,1","06,99,1,99,9,99,9,99999,9,99,9,99,9",
"02981099999","1905-01-10T20:00:00","4","59.7833333","21.3666666","6.8","PARAINEN UTO, FI","FM-12","99999","V020","340,1,N,0118,1","99999,9,9,N","000000,1,N,9","-0033,1","+9999,9","09967,1","06,99,1,99,9,99,9,99999,9,99,9,99,9",
"02981099999","1905-01-11T06:00:00","4","59.7833333","21.3666666","6.8","PARAINEN UTO, FI","FM-12","99999","V020","180,1,N,0021,1","99999,9,9,N","000000,1,N,9","-0017,1","+9999,9","09934,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02981099999","1905-01-11T13:00:00","4","59.7833333","21.3666666","6.8","PARAINEN UTO, FI","FM-12","99999","V020","160,1,N,0062,1","99999,9,9,N","000000,1,N,9","-0006,1","+9999,9","09943,1","08,99,1,99,9,99,9,99999,9,99,9,99,9","74,1"
"02981099999","1905-01-11T20:00:00","4","59.7833333","21.3666666","6.8","PARAINEN UTO, FI","FM-12","99999","V020","160,1,N,0082,1","99999,9,9,N","000000,1,N,9","+0006,1","+9999,9","09940,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02981099999","1905-01-12T06:00:00","4","59.7833333","21.3666666","6.8","PARAINEN UTO, FI","FM-12","99999","V020","200,1,N,0118,1","99999,9,9,N","000000,1,N,9","+0028,1","+9999,9","09806,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",
"02981099999","1905-01-12T13:00:00","4","59.7833333","21.3666666","6.8","PARAINEN UTO, FI","FM-12","99999","V020","230,1,N,0149,1","99999,9,9,N","000000,1,N,9","+0028,1","+9999,9","09691,1","06,99,1,99,9,99,9,99999,9,99,9,99,9",
"02981099999","1905-01-12T20:00:00","4","59.7833333","21.3666666","6.8","PARAINEN UTO, FI","FM-12","99999","V020","320,1,N,0278,1","99999,9,9,N","000000,1,N,9","-0028,1","+9999,9","09724,1","08,99,1,99,9,99,9,99999,9,99,9,99,9","72,1"
"02981099999","1905-01-13T06:00:00","4","59.7833333","21.3666666","6.8","PARAINEN UTO, FI","FM-12","99999","V020","320,1,N,0278,1","99999,9,9,N","000000,1,N,9","-0061,1","+9999,9","09867,1","08,99,1,99,9,99,9,99999,9,99,9,99,9","72,1"
"02981099999","1905-01-13T13:00:00","4","59.7833333","21.3666666","6.8","PARAINEN UTO, FI","FM-12","99999","V020","020,1,N,0211,1","99999,9,9,N","000000,1,N,9","-0072,1","+9999,9","09972,1","08,99,1,99,9,99,9,99999,9,99,9,99,9","72,1"
